utc_timestamp,DK_1_price_day_ahead
10378,28.61
10379,25.42
10380,25
10381,24.64
10382,24.21
10383,24.49
10384,23.66
10385,29.77
10386,35.03
10387,32.54
10388,23.9
10389,22.97
10390,21.38
10391,20.7
10392,21.04
10393,20.59
10394,20.27
10395,20.08
10396,20.01
10397,21.14
10398,22.27
10399,24.83
10400,29.2
10401,25.03
10402,23.43
10403,23.85
10404,22.28
10405,21.96
10406,22.16
10407,22.5
10408,23.06
10409,24.44
10410,27.71
10411,24.72
10412,23.37
10413,22.27
10414,21.58
10415,21.01
10416,19.72
10417,20.17
10418,20.04
10419,20.16
10420,20.94
10421,21.6
10422,23.48
10423,25.56
10424,31.23
10425,29.33
10426,24.95
10427,24.38
10428,24.67
10429,24.38
10430,24.06
10431,24.03
10432,24.03
10433,24.75
10434,26.78
10435,25.47
10436,24.23
10437,23.36
10438,22.17
10439,21.23
10440,21.5
10441,20.85
10442,21.03
10443,21.06
10444,21.75
10445,22.39
10446,24.48
10447,34.47
10448,38.34
10449,36.69
10450,32.91
10451,31.98
10452,29.81
10453,26.38
10454,24.74
10455,24.32
10456,24.28
10457,27.23
10458,32.55
10459,32.43
10460,24.34
10461,24.42
10462,23.23
10463,22.07
10464,22.47
10465,22.33
10466,22.28
10467,22.28
10468,22.4
10469,22.67
10470,22.72
10471,22.86
10472,23.47
10473,24.79
10474,24.79
10475,24.29
10476,23.03
10477,22.48
10478,22.28
10479,22.23
10480,22.38
10481,23.95
10482,25.94
10483,24.36
10484,22.73
10485,22.67
10486,22.62
10487,22.39
10488,22.46
10489,22.11
10490,21.67
10491,21.05
10492,21.12
10493,21.47
10494,21.33
10495,21.6
10496,21.84
10497,22.08
10498,22.17
10499,22.09
10500,21.59
10501,20.91
10502,20.75
10503,20.74
10504,21.23
10505,21.17
10506,24.25
10507,23.88
10508,22.8
10509,22.44
10510,22.36
10511,22.08
10512,21.17
10513,20.59
10514,20.22
10515,20.25
10516,20.36
10517,21.92
10518,23.18
10519,24.5
10520,26.55
10521,24.52
10522,28.82
10523,23.97
10524,23.26
10525,22.84
10526,22.55
10527,22.49
10528,22.38
10529,24.45
10530,24.44
10531,23.51
10532,22.51
10533,22.25
10534,22.02
10535,21.1
10536,20.6
10537,20.26
10538,20.33
10539,20.24
10540,20.86
10541,21.86
10542,22.4
10543,23.92
10544,24.3
10545,24.09
10546,24.06
10547,23.91
10548,23.32
10549,22.95
10550,22.56
10551,22.33
10552,22.25
10553,23
10554,24.04
10555,24.01
10556,22.73
10557,22.29
10558,21.92
10559,20.95
10560,20.71
10561,20.42
10562,20.27
10563,20.06
10564,20.49
10565,21.59
10566,22.38
10567,23.25
10568,23.97
10569,23.77
10570,22.48
10571,22.43
10572,22.16
10573,21.85
10574,21.9
10575,21.79
10576,21.96
10577,23.62
10578,25.63
10579,24.98
10580,22.27
10581,21.99
10582,21.37
10583,20.58
10584,20.69
10585,20.17
10586,20.28
10587,20.56
10588,21.09
10589,22.06
10590,22.4
10591,23.7
10592,25.07
10593,24.38
10594,23.11
10595,22.87
10596,22.38
10597,22.2
10598,22.15
10599,22.07
10600,22.16
10601,22.37
10602,22.74
10603,22.65
10604,22.29
10605,22.11
10606,21.62
10607,20.92
10608,20.31
10609,19.47
10610,19.49
10611,19.67
10612,20.14
10613,21.58
10614,22.16
10615,22.82
10616,23.35
10617,22.96
10618,22.43
10619,22.37
10620,22.18
10621,22.01
10622,22.02
10623,22.02
10624,22.07
10625,22.26
10626,22.65
10627,22.69
10628,22.38
10629,22.13
10630,21.75
10631,21.12
10632,21.31
10633,21.16
10634,21.14
10635,21.26
10636,21.3
10637,21.52
10638,21.59
10639,21.76
10640,21.84
10641,22.28
10642,22.13
10643,21.89
10644,21.45
10645,21.13
10646,20.65
10647,20.42
10648,20.79
10649,21.7
10650,22.2
10651,22.2
10652,21.72
10653,21.53
10654,21.31
10655,20.71
10656,17.73
10657,17.04
10658,18.63
10659,19.25
10660,19.36
10661,19.64
10662,19.74
10663,19.69
10664,19.92
10665,20.3
10666,20.59
10667,20.66
10668,20.52
10669,20.21
10670,20.15
10671,20.14
10672,20.05
10673,19.02
10674,23.54
10675,22.19
10676,21.86
10677,21.54
10678,21.27
10679,20.33
10680,20.29
10681,19.9
10682,19.79
10683,19.9
10684,20.4
10685,21.33
10686,21.68
10687,22.11
